"city_id","canonical_name","source_count","passed","manifest"
"city_66635fc3","Akron, OH","9","True",".\data\clients\black_dragon\production_runtime\city_66635fc3\production_asset_manifest.json"
"city_756cb4ea","Albuquerque, NM","9","True",".\data\clients\black_dragon\production_runtime\city_756cb4ea\production_asset_manifest.json"
"city_3c08e197","Allentown, PA","9","True",".\data\clients\black_dragon\production_runtime\city_3c08e197\production_asset_manifest.json"
"city_fd630896","Ann Arbor, MI","9","True",".\data\clients\black_dragon\production_runtime\city_fd630896\production_asset_manifest.json"
"city_6cabf985","Arlington, TX","9","True",".\data\clients\black_dragon\production_runtime\city_6cabf985\production_asset_manifest.json"
"city_7eb25064","Atlanta, GA","9","True",".\data\clients\black_dragon\production_runtime\city_7eb25064\production_asset_manifest.json"
"city_e9054367","Aurora, CO","9","True",".\data\clients\black_dragon\production_runtime\city_e9054367\production_asset_manifest.json"
"city_a324d561","Austin, TX","0","False",".\data\clients\black_dragon\production_runtime\city_a324d561\production_asset_manifest.json"
"city_a7350aab","Baltimore, MD","9","True",".\data\clients\black_dragon\production_runtime\city_a7350aab\production_asset_manifest.json"
"city_c2cf7437","Bellevue, WA","9","True",".\data\clients\black_dragon\production_runtime\city_c2cf7437\production_asset_manifest.json"
"city_668d0bd6","Bloomington, MN","9","True",".\data\clients\black_dragon\production_runtime\city_668d0bd6\production_asset_manifest.json"
"city_29ef5eb4","Boise, ID","9","True",".\data\clients\black_dragon\production_runtime\city_29ef5eb4\production_asset_manifest.json"
"city_95b0c3ba","Boston, MA","9","True",".\data\clients\black_dragon\production_runtime\city_95b0c3ba\production_asset_manifest.json"
"city_9814694d","Bowling Green, KY","9","True",".\data\clients\black_dragon\production_runtime\city_9814694d\production_asset_manifest.json"
"city_c4822ada","Broken Arrow, OK","9","True",".\data\clients\black_dragon\production_runtime\city_c4822ada\production_asset_manifest.json"
"city_46d49fea","Chandler, AZ","9","True",".\data\clients\black_dragon\production_runtime\city_46d49fea\production_asset_manifest.json"
"city_5090c3c6","Charlotte, NC","0","False",".\data\clients\black_dragon\production_runtime\city_5090c3c6\production_asset_manifest.json"
"city_b7aea338","Chattanooga, TN","9","True",".\data\clients\black_dragon\production_runtime\city_b7aea338\production_asset_manifest.json"
"city_4c180874","Chicago, IL","9","True",".\data\clients\black_dragon\production_runtime\city_4c180874\production_asset_manifest.json"
"city_1e856280","Cincinnati, OH","9","True",".\data\clients\black_dragon\production_runtime\city_1e856280\production_asset_manifest.json"
"city_5cbb095a","Clarksville, TN","9","True",".\data\clients\black_dragon\production_runtime\city_5cbb095a\production_asset_manifest.json"
"city_350fa856","Cleveland, OH","9","True",".\data\clients\black_dragon\production_runtime\city_350fa856\production_asset_manifest.json"
"city_328b326a","Colorado Springs, CO","9","True",".\data\clients\black_dragon\production_runtime\city_328b326a\production_asset_manifest.json"
"city_878f11ab","Columbia, MO","9","True",".\data\clients\black_dragon\production_runtime\city_878f11ab\production_asset_manifest.json"
"city_85e83faa","Columbus, OH","9","True",".\data\clients\black_dragon\production_runtime\city_85e83faa\production_asset_manifest.json"
"city_f8eaf382","Covington, KY","9","True",".\data\clients\black_dragon\production_runtime\city_f8eaf382\production_asset_manifest.json"
"city_5abab5f6","Dallas, TX","0","False",".\data\clients\black_dragon\production_runtime\city_5abab5f6\production_asset_manifest.json"
"city_39d61699","Denver, CO","9","True",".\data\clients\black_dragon\production_runtime\city_39d61699\production_asset_manifest.json"
"city_6536761e","Detroit, MI","9","True",".\data\clients\black_dragon\production_runtime\city_6536761e\production_asset_manifest.json"
"city_0b8ff86c","Duluth, MN","9","True",".\data\clients\black_dragon\production_runtime\city_0b8ff86c\production_asset_manifest.json"
"city_78ccf400","Durham, NC","0","False",".\data\clients\black_dragon\production_runtime\city_78ccf400\production_asset_manifest.json"
"city_0c5b904d","Edmond, OK","9","True",".\data\clients\black_dragon\production_runtime\city_0c5b904d\production_asset_manifest.json"
"city_990961e3","El Paso, TX","0","False",".\data\clients\black_dragon\production_runtime\city_990961e3\production_asset_manifest.json"
"city_46ea53ac","Erie, PA","9","True",".\data\clients\black_dragon\production_runtime\city_46ea53ac\production_asset_manifest.json"
"city_eedb043f","Eugene, OR","9","True",".\data\clients\black_dragon\production_runtime\city_eedb043f\production_asset_manifest.json"
"city_9ba60036","Flint, MI","9","True",".\data\clients\black_dragon\production_runtime\city_9ba60036\production_asset_manifest.json"
