"entity_id","organization_name","organization_type","city","region","country","authentication_status","public_source_present","outreach_allowed"
"BD_BOOK_EXP_00193","TARRANT COUNTY SHERIFFS OFFICE - ADMINISTRATION","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00229","TAYLOR COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00400","TERRELL COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00398","TERRY COUNTY SHERIFFS DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00247","TEXAS DEPARTMENT OF PUBLIC SAFETY - HIGHWAY PATROL HEADQUARTERS REGION 2 AREA 2","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00249","TEXAS DEPARTMENT OF PUBLIC SAFETY - HIGHWAY PATROL REGION 1 DISTRICT B SERGEANT 0 AREA 11","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00258","TEXAS DEPARTMENT OF PUBLIC SAFETY - TEXAS RANGERS","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00245","TEXAS DEPARTMENT OF PUBLIC SAFETY TEXAS RANGER COMPANY A - HOUSTON","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00241","TEXAS MEDICAL CENTER POLICE DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00234","THROCKMORTON COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00368","TITUS COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00199","TOM GREEN COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00254","TRAVIS COUNTY SHERIFFS DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00237","TRAVIS COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00302","TRINITY COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00426","TYLER COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00365","UPSHUR COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00427","UPTON COUNTY SHERIFF OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00299","UVALDE COUNTY SHERIFF OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00463","VAL VERDE COUNTY SHERIFF","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00396","VAN ZANDT COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00290","VICTORIA COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00233","WALKER COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00419","WALLER COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00352","WASHINGTON COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00260","WEBB COUNTY SHERIFFS DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00205","WESTLAKE DEPARTMENT OF PUBLIC SAFETY","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00436","WHARTON COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00355","WHEELER COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00287","WICHITA COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00208","WILBARGER COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00297","WILLACY COUNTY SHERIFFS DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
