"city_id","canonical_name","required_manifests","missing_manifests","scaffold_coverage","operational_density","passed"
"city_66635fc3","Akron, OH","7","0","complete","partial","True"
"city_756cb4ea","Albuquerque, NM","7","0","complete","partial","True"
"city_3c08e197","Allentown, PA","7","0","complete","partial","True"
"city_fd630896","Ann Arbor, MI","7","0","complete","partial","True"
"city_6cabf985","Arlington, TX","7","0","complete","partial","True"
"city_7eb25064","Atlanta, GA","7","0","complete","partial","True"
"city_e9054367","Aurora, CO","7","0","complete","partial","True"
"city_a324d561","Austin, TX","7","0","complete","partial","True"
"city_a7350aab","Baltimore, MD","7","0","complete","partial","True"
"city_c2cf7437","Bellevue, WA","7","0","complete","partial","True"
"city_668d0bd6","Bloomington, MN","7","0","complete","partial","True"
"city_29ef5eb4","Boise, ID","7","0","complete","partial","True"
"city_95b0c3ba","Boston, MA","7","0","complete","partial","True"
"city_9814694d","Bowling Green, KY","7","0","complete","partial","True"
"city_c4822ada","Broken Arrow, OK","7","0","complete","partial","True"
"city_46d49fea","Chandler, AZ","7","0","complete","partial","True"
"city_5090c3c6","Charlotte, NC","7","0","complete","partial","True"
"city_b7aea338","Chattanooga, TN","7","0","complete","partial","True"
"city_4c180874","Chicago, IL","7","0","complete","partial","True"
"city_1e856280","Cincinnati, OH","7","0","complete","partial","True"
"city_5cbb095a","Clarksville, TN","7","0","complete","partial","True"
"city_350fa856","Cleveland, OH","7","0","complete","partial","True"
"city_328b326a","Colorado Springs, CO","7","0","complete","partial","True"
"city_878f11ab","Columbia, MO","7","0","complete","partial","True"
"city_85e83faa","Columbus, OH","7","0","complete","partial","True"
"city_f8eaf382","Covington, KY","7","0","complete","partial","True"
"city_5abab5f6","Dallas, TX","7","0","complete","partial","True"
"city_39d61699","Denver, CO","7","0","complete","partial","True"
"city_6536761e","Detroit, MI","7","0","complete","partial","True"
"city_0b8ff86c","Duluth, MN","7","0","complete","partial","True"
"city_78ccf400","Durham, NC","7","0","complete","partial","True"
"city_0c5b904d","Edmond, OK","7","0","complete","partial","True"
"city_990961e3","El Paso, TX","7","0","complete","partial","True"
"city_46ea53ac","Erie, PA","7","0","complete","partial","True"
"city_eedb043f","Eugene, OR","7","0","complete","partial","True"
"city_9ba60036","Flint, MI","7","0","complete","partial","True"
"city_254d227a","Fort Collins, CO","7","0","complete","partial","True"
"city_47b59fac","Fort Worth, TX","7","0","complete","partial","True"
"city_c94decbe","Fresno, CA","7","0","complete","partial","True"
"city_5c4c1c64","Grand Rapids, MI","7","0","complete","partial","True"
"city_0e003b8d","Greensboro, NC","7","0","complete","partial","True"
"city_400670ba","Gresham, OR","7","0","complete","partial","True"
"city_fc1b220f","Henderson, NV","7","0","complete","partial","True"
"city_bf66ad64","Hillsboro, OR","7","0","complete","partial","True"
"city_0a922e63","Houston, TX","7","0","complete","partial","True"
"city_3fbbe606","Idaho Falls, ID","7","0","complete","partial","True"
"city_16a23f41","Independence, MO","7","0","complete","partial","True"
"city_1ae44e4f","Indianapolis, IN","7","0","complete","partial","True"
"city_7e936870","Jacksonville, FL","7","0","complete","partial","True"
"city_828fab47","Kansas City, MO","7","0","complete","partial","True"
"city_20eb3715","Knoxville, TN","7","0","complete","partial","True"
"city_1138b2d4","Lakewood, CO","7","0","complete","partial","True"
"city_b0cd67a6","Lansing, MI","7","0","complete","partial","True"
"city_fa4dd02c","Las Cruces, NM","7","0","complete","partial","True"
"city_f03b8f57","Las Vegas, NV","7","0","complete","partial","True"
"city_6509ecc5","Lexington, KY","7","0","complete","partial","True"
"city_0a31d438","Long Beach, CA","7","0","complete","partial","True"
"city_1f98af58","Los Angeles, CA","7","0","complete","partial","True"
"city_8e6f63cf","Louisville, KY","7","0","complete","partial","True"
"city_c79509a4","Memphis, TN","7","0","complete","partial","True"
"city_72c8b2f9","Meridian, ID","7","0","complete","partial","True"
"city_7d043dae","Mesa, AZ","7","0","complete","partial","True"
"city_53389926","Miami, FL","7","0","complete","partial","True"
"city_3fad7905","Milwaukee, WI","7","0","complete","partial","True"
"city_1fd1b37f","Minneapolis, MN","7","0","complete","partial","True"
"city_70af1d0e","Nampa, ID","7","0","complete","partial","True"
"city_154a8fe9","Nashville, TN","7","0","complete","partial","True"
"city_b5ad2562","New Orleans, LA","7","0","complete","partial","True"
"city_3d50f2fd","New York, NY","7","0","complete","partial","True"
"city_9e7d2fb8","Norman, OK","7","0","complete","partial","True"
"city_7662680f","North Las Vegas, NV","7","0","complete","partial","True"
"city_8f664c09","Oakland, CA","7","0","complete","partial","True"
"city_a2cbee70","Oklahoma City, OK","7","0","complete","partial","True"
"city_127606b4","Omaha, NE","7","0","complete","partial","True"
"city_1e4fcd97","Orem, UT","7","0","complete","partial","True"
"city_18d738e7","Orlando, FL","7","0","complete","partial","True"
"city_17fcb829","Owensboro, KY","7","0","complete","partial","True"
"city_01f3a5ed","Philadelphia, PA","7","0","complete","partial","True"
"city_8635d5db","Phoenix, AZ","7","0","complete","partial","True"
"city_49bcf5c9","Pittsburgh, PA","7","0","complete","partial","True"
"city_4ada292b","Pocatello, ID","7","0","complete","partial","True"
"city_ab77b2a8","Portland, OR","7","0","complete","partial","True"
"city_b0c51a5d","Provo, UT","7","0","complete","partial","True"
"city_16f77904","Raleigh, NC","7","0","complete","partial","True"
"city_b183167f","Reading, PA","7","0","complete","partial","True"
"city_f48df4c8","Reno, NV","7","0","complete","partial","True"
"city_5e423e03","Rio Rancho, NM","7","0","complete","partial","True"
"city_0d4f6d2f","Rochester, MN","7","0","complete","partial","True"
"city_e1fe8704","Roswell, NM","7","0","complete","partial","True"
"city_47748120","Sacramento, CA","7","0","complete","partial","True"
"city_b27a62e8","Salem, OR","7","0","complete","partial","True"
"city_9b7d017c","Salt Lake City, UT","7","0","complete","partial","True"
"city_c27d5d7f","San Antonio, TX","7","0","complete","partial","True"
"city_dd17b133","San Diego, CA","7","0","complete","partial","True"
"city_d2941d41","San Francisco, CA","7","0","complete","partial","True"
"city_759cd460","San Jose, CA","7","0","complete","partial","True"
"city_60b147f2","Santa Fe, NM","7","0","complete","partial","True"
"city_c1a02fde","Scottsdale, AZ","7","0","complete","partial","True"
"city_b7ea02a9","Seattle, WA","7","0","complete","partial","True"
"city_f7bb5b9c","Sparks, NV","7","0","complete","partial","True"
"city_852df262","Spokane, WA","7","0","complete","partial","True"
"city_82649311","Springfield, MO","7","0","complete","partial","True"
"city_2a5ba728","St Louis, MO","7","0","complete","partial","True"
"city_70207d8e","St Paul, MN","7","0","complete","partial","True"
"city_936f1437","St Petersburg, FL","7","0","complete","partial","True"
"city_ef557a57","Tacoma, WA","7","0","complete","partial","True"
"city_af6fd06c","Tampa, FL","7","0","complete","partial","True"
"city_4cbdb331","Toledo, OH","7","0","complete","partial","True"
"city_b903b4d0","Tucson, AZ","7","0","complete","partial","True"
"city_936b7d90","Tulsa, OK","7","0","complete","partial","True"
"city_82e75d40","Vancouver, WA","7","0","complete","partial","True"
"city_29cb8e76","Virginia Beach, VA","7","0","complete","partial","True"
"city_5fedc010","Washington, DC","7","0","complete","partial","True"
"city_c084361b","West Jordan, UT","7","0","complete","partial","True"
"city_b6773437","West Valley City, UT","7","0","complete","partial","True"
"city_763449ef","Winston-Salem, NC","7","0","complete","partial","True"
