"city","canonical_match","city_id","canonical_name","profile_match","passed"
"Nashville","True","city_154a8fe9","Nashville, TN","True","True"
"Memphis","True","city_c79509a4","Memphis, TN","True","True"
"Knoxville","True","city_20eb3715","Knoxville, TN","True","True"
"Chattanooga","True","city_b7aea338","Chattanooga, TN","True","True"
"Clarksville","True","city_5cbb095a","Clarksville, TN","True","True"
