"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Boise","14","0","14","0","not_locked"
"Idaho Falls","14","0","14","0","not_locked"
"Meridian","14","0","14","0","not_locked"
"Nampa","14","0","14","0","not_locked"
"Pocatello","14","0","14","0","not_locked"
