"wave_id","city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status","reason"
"20260511_212238","Long Beach","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_212238","Oakland","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_212238","San Francisco","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_212238","Washington","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_212238","Atlanta","14","0","14","0","not_locked","No verified parity layers imported yet."
