"wave_id","city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status","reason"
"20260511_213432","Omaha","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_213432","New York","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_213432","Arlington","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_213432","San Antonio","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_213432","Virginia Beach","14","0","14","0","not_locked","No verified parity layers imported yet."
