"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Akron","14","14","0","100","locked"
"Cincinnati","14","14","0","100","locked"
"Cleveland","14","14","0","100","locked"
"Columbus","14","14","0","100","locked"
"Toledo","14","14","0","100","locked"
