"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Jacksonville","14","0","14","0","not_locked"
"Miami","14","0","14","0","not_locked"
"Orlando","14","0","14","0","not_locked"
"St Petersburg","14","0","14","0","not_locked"
"Tampa","14","0","14","0","not_locked"
