"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Columbia","14","14","0","100","locked"
"Independence","14","14","0","100","locked"
"Kansas City","14","14","0","100","locked"
"Springfield","14","14","0","100","locked"
"St Louis","14","14","0","100","locked"
