"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Chattanooga","14","14","0","100","locked"
"Clarksville","14","14","0","100","locked"
"Knoxville","14","14","0","100","locked"
"Memphis","14","14","0","100","locked"
"Nashville","14","14","0","100","locked"
