"wave_id","city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status","reason"
"20260511_190442","Dallas","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_190442","Houston","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_190442","Austin","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_190442","Fort Worth","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_190442","El Paso","14","0","14","0","not_locked","No verified parity layers imported yet."
