"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Bloomington","14","14","0","100","locked"
"Duluth","14","14","0","100","locked"
"Minneapolis","14","14","0","100","locked"
"Rochester","14","14","0","100","locked"
"St Paul","14","14","0","100","locked"
