"wave_id","city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status","reason"
"20260511_204241","Nashville","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_204241","Memphis","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_204241","Knoxville","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_204241","Chattanooga","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_204241","Clarksville","14","0","14","0","not_locked","No verified parity layers imported yet."
