"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Broken Arrow","14","0","14","0","not_locked"
"Edmond","14","0","14","0","not_locked"
"Norman","14","0","14","0","not_locked"
"Oklahoma City","14","0","14","0","not_locked"
"Tulsa","14","0","14","0","not_locked"
