"wave_id","city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status","reason"
"20260511_194952","Minneapolis","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_194952","St Paul","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_194952","Rochester","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_194952","Duluth","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_194952","Bloomington","14","0","14","0","not_locked","No verified parity layers imported yet."
