"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Henderson","14","0","14","0","not_locked"
"Las Vegas","14","0","14","0","not_locked"
"North Las Vegas","14","0","14","0","not_locked"
"Reno","14","0","14","0","not_locked"
"Sparks","14","0","14","0","not_locked"
