"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Bowling Green","14","14","0","100","locked"
"Covington","14","14","0","100","locked"
"Lexington","14","14","0","100","locked"
"Louisville","14","14","0","100","locked"
"Owensboro","14","14","0","100","locked"
