"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Chandler","14","0","14","0","not_locked"
"Mesa","14","0","14","0","not_locked"
"Phoenix","14","0","14","0","not_locked"
"Scottsdale","14","0","14","0","not_locked"
"Tucson","14","0","14","0","not_locked"
