"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Orem","14","0","14","0","not_locked"
"Provo","14","0","14","0","not_locked"
"Salt Lake City","14","0","14","0","not_locked"
"West Jordan","14","0","14","0","not_locked"
"West Valley City","14","0","14","0","not_locked"
