"wave_id","city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status","reason"
"20260511_195708","Philadelphia","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_195708","Pittsburgh","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_195708","Allentown","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_195708","Erie","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_195708","Reading","14","0","14","0","not_locked","No verified parity layers imported yet."
