"wave_id","city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status","reason"
"20260511_194412","Detroit","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_194412","Grand Rapids","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_194412","Lansing","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_194412","Ann Arbor","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_194412","Flint","14","0","14","0","not_locked","No verified parity layers imported yet."
