"wave_id","city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status","reason"
"20260511_212243","Chicago","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_212243","Indianapolis","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_212243","New Orleans","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_212243","Boston","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_212243","Baltimore","14","0","14","0","not_locked","No verified parity layers imported yet."
