"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Orem","14","14","0","100","locked"
"Provo","14","14","0","100","locked"
"Salt Lake City","14","14","0","100","locked"
"West Jordan","14","14","0","100","locked"
"West Valley City","14","14","0","100","locked"
