"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Allentown","14","14","0","100","locked"
"Erie","14","14","0","100","locked"
"Philadelphia","14","14","0","100","locked"
"Pittsburgh","14","14","0","100","locked"
"Reading","14","14","0","100","locked"
