"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Austin","14","3","11","21.43","not_locked"
"Dallas","14","3","11","21.43","not_locked"
"El Paso","14","3","11","21.43","not_locked"
"Fort Worth","14","3","11","21.43","not_locked"
"Houston","14","3","11","21.43","not_locked"
