"wave_id","city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status","reason"
"20260511_195958","Los Angeles","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_195958","San Diego","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_195958","San Jose","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_195958","Sacramento","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_195958","Fresno","14","0","14","0","not_locked","No verified parity layers imported yet."
