"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Aurora","14","14","0","100","locked"
"Colorado Springs","14","14","0","100","locked"
"Denver","14","14","0","100","locked"
"Fort Collins","14","14","0","100","locked"
"Lakewood","14","14","0","100","locked"
