"wave_id","city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status","reason"
"20260511_202616","Albuquerque","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_202616","Las Cruces","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_202616","Rio Rancho","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_202616","Santa Fe","14","0","14","0","not_locked","No verified parity layers imported yet."
"20260511_202616","Roswell","14","0","14","0","not_locked","No verified parity layers imported yet."
