"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Boise","14","14","0","100","locked"
"Idaho Falls","14","14","0","100","locked"
"Meridian","14","14","0","100","locked"
"Nampa","14","14","0","100","locked"
"Pocatello","14","14","0","100","locked"
