"city","required_layers","verified_layers","missing_layers","saturation_percent","lock_status"
"Arlington","14","0","14","0","not_locked"
"New York","14","0","14","0","not_locked"
"Omaha","14","0","14","0","not_locked"
"San Antonio","14","0","14","0","not_locked"
"Virginia Beach","14","0","14","0","not_locked"
